Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
Koto,,,241,0.90,176.4,0.87,70%,117.6,0.62,0.20,0.09,0.10,28%,7%,2/29,18,150,172,48,21,25
Paradox,RGE,,322,0.90,176.7,0.89,68%,118.7,0.64,0.25,0.07,0.06,23%,19%,7/36,24,205,231,80,22,19
lea,,,235,0.90,200.4,0.88,58%,136.9,0.69,0.17,0.14,0.20,30%,23%,3/13,24,161,183,41,34,48
ScrewFace,BZK,,847,0.90,166.1,0.85,71%,108.7,0.58,0.45,0.06,0.06,23%,21%,21/101,27,490,578,377,53,48
Dia,MTR,,311,0.90,208.9,0.95,67%,134.1,0.73,0.18,0.16,0.16,30%,13%,3/24,26,227,240,56,50,51
darm,,,512,0.90,201.6,0.88,63%,134.6,0.70,0.19,0.13,0.16,22%,15%,8/55,24,359,406,97,68,83
lucks,PUG,,228,0.90,170.6,0.95,72%,116.1,0.61,0.23,0.07,0.05,40%,20%,4/20,21,138,146,52,16,12
Yuki,PRS,,734,0.90,183.9,0.86,68%,126.0,0.63,0.23,0.06,0.08,23%,13%,19/143,23,464,540,172,45,59
DOXZ3R,AST,,248,0.90,175.4,0.84,65%,119.1,0.62,0.21,0.06,0.08,31%,7%,3/42,23,154,184,51,16,21
ZIDIAN,Nere,,222,0.90,185.3,0.86,63%,110.3,0.64,0.26,0.05,0.11,24%,19%,7/36,20,143,167,57,11,25
In0X,WVU,,269,0.90,169.2,0.78,67%,105.4,0.57,0.41,0.09,0.09,31%,19%,5/26,27,152,195,111,23,23
micaela,KRÜ.B,,254,0.90,151.6,0.87,73%,101.2,0.55,0.35,0.06,0.09,39%,25%,6/24,18,139,159,88,16,24
jayp,2G,,576,0.90,182.5,0.89,69%,122.6,0.64,0.22,0.08,0.09,23%,12%,12/100,23,366,410,126,48,53
