match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
11586,Split,DELIRAWOW,Stars Horizon,1,Bo3,Open Qualifier: Quarterfinals,2021-02-23,96.0,36.0,-36.0,12.0
11587,Haven,FREEAGENTS,favela aimers,1,Bo3,Open Qualifier: Quarterfinals,2021-02-23,-1.0,-2.0,2.0,-5.0
11587,Bind,FREEAGENTS,favela aimers,0,Bo3,Open Qualifier: Quarterfinals,2021-02-23,-65.80000000000001,-28.0,28.0,-13.0
11587,Split,FREEAGENTS,favela aimers,1,Bo3,Open Qualifier: Quarterfinals,2021-02-23,72.80000000000001,26.0,-26.0,12.0
11590,Split,Cyber Skull Esports,No Org Found,0,Bo3,Main Event: Quarterfinals,2021-02-27,-43.19999999999999,-18.0,18.0,-11.0
11590,Haven,Cyber Skull Esports,No Org Found,1,Bo3,Main Event: Quarterfinals,2021-02-27,13.799999999999983,7.0,-7.0,3.0
11590,Bind,Cyber Skull Esports,No Org Found,0,Bo3,Main Event: Quarterfinals,2021-02-27,-28.80000000000001,-15.0,14.0,16.0
11591,Haven,BBL Esports,RARE Esports,1,Bo3,Main Event: Quarterfinals,2021-02-27,8.800000000000011,4.0,-4.0,-1.0
11591,Ascent,BBL Esports,RARE Esports,1,Bo3,Main Event: Quarterfinals,2021-02-27,54.19999999999999,22.0,-22.0,9.0
11592,Ascent,FUT Esports,OtherSide,1,Bo3,Main Event: Quarterfinals,2021-02-28,3.799999999999983,-2.0,1.0,-8.0
11592,Split,FUT Esports,OtherSide,0,Bo3,Main Event: Quarterfinals,2021-02-28,-10.799999999999983,-6.0,6.0,24.0
11592,Haven,FUT Esports,OtherSide,0,Bo3,Main Event: Quarterfinals,2021-02-28,8.400000000000006,3.0,-3.0,-5.0
11593,Icebox,Oxygen Esports,İstanbul Wildcats,0,Bo3,Main Event: Quarterfinals,2021-02-28,-55.400000000000006,-25.0,25.0,-5.0
11593,Ascent,Oxygen Esports,İstanbul Wildcats,1,Bo3,Main Event: Quarterfinals,2021-02-28,8.799999999999983,6.0,-6.0,-3.0
11593,Bind,Oxygen Esports,İstanbul Wildcats,1,Bo3,Main Event: Quarterfinals,2021-02-28,24.799999999999983,16.0,-16.0,8.0
11594,Haven,Guild Esports,Entropiq,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-04,20.0,11.0,-11.0,-4.0
11594,Ascent,Guild Esports,Entropiq,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-04,42.19999999999999,22.0,-22.0,18.0
11595,Haven,HONK,Ballista,0,Bo3,Qualifier Play-in: Quarterfinals,2021-03-05,-59.20000000000002,-25.0,25.0,-5.0
11595,Split,HONK,Ballista,0,Bo3,Qualifier Play-in: Quarterfinals,2021-03-05,-62.400000000000006,-24.0,24.0,-10.0
11596,Ascent,DfuseTeam,Giants Gaming,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-04,60.19999999999999,25.0,-25.0,13.0
11596,Split,DfuseTeam,Giants Gaming,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-04,27.0,15.0,-15.0,6.0
11597,Bind,Raise Your Edge,Rix.GG Thunder,0,Bo3,Qualifier Play-in: Quarterfinals,2021-03-05,4.199999999999989,2.0,-2.0,6.0
11597,Ascent,Raise Your Edge,Rix.GG Thunder,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-05,-8.799999999999983,-5.0,5.0,0.0
11597,Haven,Raise Your Edge,Rix.GG Thunder,1,Bo3,Qualifier Play-in: Quarterfinals,2021-03-05,44.400000000000006,16.0,-16.0,16.0
11598,Split,Wave Esports,Guild Esports,0,Bo3,Main Event: Quarterfinals,2021-03-06,-41.80000000000001,-21.0,21.0,-21.0
11598,Haven,Wave Esports,Guild Esports,0,Bo3,Main Event: Quarterfinals,2021-03-06,-36.39999999999998,-16.0,15.0,-3.0
11599,Ascent,G2 Esports,DfuseTeam,1,Bo3,Main Event: Quarterfinals,2021-03-06,86.0,33.0,-33.0,8.0
11599,Split,G2 Esports,DfuseTeam,0,Bo3,Main Event: Quarterfinals,2021-03-06,-30.600000000000023,-12.0,12.0,4.0
11599,Bind,G2 Esports,DfuseTeam,0,Bo3,Main Event: Quarterfinals,2021-03-06,-25.0,-11.0,11.0,-15.0
116,TBD,HypHypHyp,IDDQD v2,1,Bo1,Group Stage: Group B,2020-05-12,0.0,0.0,0.0,0.0
