iter	Passed	Remaining
907	112188	134922
908	112301	134786
909	112421	134658
910	112555	134547
911	112662	134403
912	112795	134292
913	112916	134166
914	113048	134052
915	113180	133938
916	113327	133842
917	113448	133716
918	113594	133618
919	113742	133523
920	113884	133421
921	114051	133349
922	114190	133243
923	114363	133176
924	114495	133061
925	114615	132934
926	114740	132811
927	114865	132689
928	114988	132564
929	115119	132448
930	115253	132337
931	115379	132215
932	115507	132097
933	115634	131976
934	115747	131841
935	115876	131723
936	115993	131590
937	116129	131481
938	116248	131352
939	116371	131227
940	116497	131106
941	116625	130986
942	116762	130877
943	116874	130741
944	117002	130621
945	117132	130505
946	117266	130392
947	117380	130257
948	117499	130129
949	117634	130017
950	117768	129904
951	117875	129762
952	117996	129635
953	118123	129515
954	118313	129463
955	118496	129404
956	118620	129280
957	118754	129167
958	118894	129060
959	119027	128946
960	119164	128836
961	119281	128705
962	119401	128576
963	119529	128456
964	119662	128343
965	119772	128203
966	119887	128070
967	120002	127936
968	120115	127801
969	120232	127669
970	120360	127550
971	120482	127423
972	120595	127287
973	120694	127138
974	120818	127014
975	120949	126897
976	121076	126776
977	121199	126652
978	121342	126548
979	121471	126429
980	121597	126307
981	121713	126175
982	121840	126054
983	121974	125940
984	122111	125830
985	122241	125712
986	122377	125600
987	122494	125469
988	122606	125333
989	122732	125212
990	122850	125081
991	122958	124941
992	123079	124815
993	123206	124693
994	123340	124580
995	123486	124478
996	123609	124353
997	123743	124239
998	123855	124103
999	123987	123987
1000	124119	123871
1001	124208	123712
1002	124339	123595
1003	124473	123482
1004	124593	123353
1005	124697	123209
1006	124820	123085
1007	124928	122945
1008	125052	122821
1009	125176	122697
1010	125284	122558
1011	125402	122428
1012	125528	122306
1013	125666	122196
1014	125789	122071
1015	125909	121944
1016	126044	121830
1017	126161	121699
1018	126283	121573
1019	126403	121446
1020	126525	121320
1021	126642	121189
1022	126764	121064
1023	126901	120952
1024	127025	120828
1025	127160	120715
1026	127299	120605
1027	127421	120480
1028	127562	120372
1029	127698	120259
1030	127822	120136
1031	127954	120019
1032	128072	119889
1033	128206	119774
1034	128339	119659
1035	128456	119529
1036	128607	119429
1037	128747	119321
1038	128854	119180
1039	128983	119061
1040	129097	118928
1041	129206	118790
1042	129347	118681
1043	129463	118551
1044	129585	118425
1045	129703	118295
1046	129802	118148
1047	129933	118030
1048	130073	117922
1049	130211	117810
1050	130341	117691
1051	130470	117572
1052	130590	117444
1053	130715	117321
1054	130836	117195
1055	130957	117068
1056	131073	116936
1057	131199	116814
1058	131322	116690
1059	131431	116552
1060	131557	116430
1061	131694	116317
1062	131819	116194
1063	131947	116074
1064	132097	115972
1065	132220	115847
1066	132336	115717
1067	132472	115603
1068	132603	115485
1069	132730	115364
1070	132864	115248
1071	132998	115133
1072	133127	115013
1073	133245	114883
1074	133375	114765
1075	133485	114629
1076	133609	114504
1077	133729	114377
1078	133836	114238
1079	133946	114102
1080	134071	113979
1081	134197	113857
1082	134331	113741
1083	134457	113619
1084	134590	113502
1085	134715	113379
1086	134835	113252
1087	134961	113129
1088	135091	113010
1089	135213	112884
1090	135332	112756
1091	135450	112627
1092	135577	112505
1093	135697	112378
1094	135809	112244
1095	135927	112115
1096	136068	112005
1097	136185	111875
1098	136281	111728
1099	136400	111600
1100	136527	111478
1101	136663	111364
1102	136785	111239
1103	136903	111110
1104	137029	110987
1105	137150	110860
1106	137280	110741
1107	137425	110634
1108	137550	110511
1109	137660	110376
1110	137793	110259
1111	137909	110128
1112	138029	110002
1113	138138	109866
1114	138253	109734
1115	138384	109616
1116	138525	109505
1117	138651	109383
1118	138775	109259
1119	138903	109138
1120	139037	109022
1121	139169	108904
1122	139301	108786
1123	139383	108629
1124	139505	108504
1125	139637	108386
1126	139732	108239
1127	139856	108116
1128	139973	107986
1129	140085	107853
1130	140216	107734
1131	140344	107613
1132	140484	107501
1133	140593	107367
1134	140732	107254
1135	140854	107128
1136	140990	107013
1137	141130	106902
1138	141264	106785
1139	141380	106655
1140	141512	106537
1141	141626	106405
1142	141749	106280
1143	141867	106152
1144	141981	106020
1145	142107	105898
1146	142225	105770
1147	142351	105647
